job_id,job_title,date_view,emp_name,skills,location_name,label,job_link
35C6928D,Data Analyst,2026-03-09T20:04:31.901Z,Công ty TNHH Viettel - CHT,"['APACHE AIRFLOW', 'LOOKER', 'MYSQL', 'POSTGRESQL', 'POWER BI', 'PYTHON', 'R', 'SNOWFLAKE', 'SQL', 'SUPERSET', 'TABLEAU']",Hà Nội,Data Analyst,https://careerviet.vn/vi/tim-viec-lam/data-analyst.35C6928D.html
35C6622F,Senior Data Analyst,2026-02-19T22:00:43.258Z,Simpson Strong Tie Viet Nam Company Limited,"['EXCEL', 'POWER QUERY', 'PYTHON', 'R', 'SAP ANALYTICS CLOUD', 'SQL']",Hồ Chí Minh,Data Analyst,https://careerviet.vn/vi/tim-viec-lam/senior-data-analyst.35C6622F.html
35C6C73C,HR Data Analyst,2026-03-13T06:18:47.923Z,Tập Đoàn Kim Tín,"['EXCEL', 'POWER BI', 'R', 'SQL']",Hồ Chí Minh,Data Analyst,https://careerviet.vn/vi/tim-viec-lam/hr-data-analyst.35C6C73C.html
35C68416,Senior Data Analyst (Customer Segmentation),2026-03-11T22:01:13.392Z,FE CREDIT,[],Hồ Chí Minh,Data Analyst,https://careerviet.vn/vi/tim-viec-lam/senior-data-analyst-customer-segmentation.35C68416.html
35C67F45,Chuyên Viên Data Analyst (DA),2026-03-08T22:01:18.304Z,Công ty TNHH Thiên Thủy Mộc,"['PYTHON', 'SQL', 'TABLEAU']",Hà Nội,Data Analyst,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-data-analyst-da.35C67F45.html
35C6B847,Data Analyst - Customer (English speaking required),2026-03-09T06:55:57.313Z,CÔNG TY CỔ PHẦN KREDIVO VIỆT NAM,"['LOOKER', 'METABASE', 'PYTHON', 'TABLEAU']",Hồ Chí Minh,Data Analyst,https://careerviet.vn/vi/tim-viec-lam/data-analyst-customer-english-speaking-required.35C6B847.html
35C6B9DB,Nhân viên quản trị cơ sở dữ liệu (DBA),2026-03-09T10:04:07.529Z,Công Ty Cổ Phần Giải Pháp Thanh Toán Việt Nam (VNPAY),"['MYSQL', 'SQL']",Hà Nội,Data Engineer,https://careerviet.vn/vi/tim-viec-lam/nhan-vien-quan-tri-co-so-du-lieu-dba.35C6B9DB.html
35C64F75,"Chuyên viên quản trị cơ sở dữ liệu, Phòng MIS, Khối Tài chính kế toán",2026-03-09T22:00:31.434Z,Ngân hàng TMCP Đại Chúng Việt Nam - PVcomBank,['R'],Hà Nội,Data Engineer,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-quan-tri-co-so-du-lieu-phong-mis-khoi-tai-chinh-ke-toan.35C64F75.html
35C668C7,Chuyên Viên Quản Lý Cơ Sở Dữ Liệu_Hội Sở (Database Administration Officer - DBA_HO),2026-02-25T22:01:53.815Z,NGÂN HÀNG TRÁCH NHIỆM HỮU HẠN MỘT THÀNH VIÊN VIỆT NAM HIỆN ĐẠI,"['MONGODB', 'MYSQL', 'POSTGRESQL', 'SQL']",Hà Nội,Data Engineer,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-quan-ly-co-so-du-lieu_hoi-so-database-administration-officer-dba_ho.35C668C7.html
35C62DB8,Kỹ sư phát triển giải pháp Oracle - Database Developer - Khối Công nghệ thông tin (HO25.505),2026-02-13T22:01:17.200Z,Ngân Hàng TMCP Quân Đội,"['JAVA', 'ODI', 'PENTAHO', 'SQL', 'TABLEAU']",Hà Nội,Data Engineer,https://careerviet.vn/vi/tim-viec-lam/ky-su-phat-trien-giai-phap-oracle-database-developer-khoi-cong-nghe-thong-tin-ho25-505.35C62DB8.html
